산지코드,산지이름,직팜산지코드,직팜산지이름
570000~572999,전라북도 익산시,1107,전라북도 익산시
573000~575999,전라북도 군산시,1108,전라북도 군산시
576000~578999,전라북도 김제시,1109,전라북도 김제시
579000~579893,전라북도 부안군,1110,전라북도 부안군
579894~579909,전라북도 고창군,1111,전라북도 고창군
579910~579999,전라북도 부안군,1110,전라북도 부안군
580000~584999,전라북도 정읍시,1112,전라북도 정읍시
585000~589999,전라북도 고창군,1111,전라북도 고창군
590000~594999,전라북도 남원시,1113,전라북도 남원시
595000~596999,전라북도 순창군,1114,전라북도 순창군
597000~599999,전라북도 장수군,1115,전라북도 장수군
600000~620999,부산광역시,1116,부산광역시
621000~625999,경상남도 김해시,1117,경상남도 김해시
626000~626999,경상남도 양산시,1118,경상남도 양산시
627000~629999,경상남도 밀양시,1119,경상남도 밀양시
630000~634999,경상남도 창원시,1120,경상남도 창원시
635000~635999,경상남도 창녕군,1121,경상남도 창녕군
636000~636999,경상남도 의령군,1122,경상남도 의령군
637000~637999,경상남도 함안군,1123,경상남도 함안군
638000~640999,경상남도 고성군,1124,경상남도 고성군
641000~649999,경상남도 창원시,1120,경상남도 창원시
650000~655999,경상남도 통영시,1125,경상남도 통영시
656000~659999,경상남도 거제시,1126,경상남도 거제시
660000~663999,경상남도 진주시,1127,경상남도 진주시
664000~665999,경상남도 사천시,1128,경상남도 사천시
666000~666999,경상남도 산청군,1129,경상남도 산청군
667000~667999,경상남도 하동군,1130,경상남도 하동군
668000~669999,경상남도 남해군,1131,경상남도 남해군
670000~675999,경상남도 거창군,1132,경상남도 거창군
676000~677999,경상남도 함양군,1133,경상남도 함양군
678000~679999,경상남도 합천군,1134,경상남도 합천군
680000~689999,울산광역시,1135,울산광역시
690000~696999,제주특별자치도 제주시,1136,제주특별자치도 제주시
697000~699999,제주특별자치도 서귀포시,1137,제주특별자치도 서귀포시
700000~711999,대구광역시,1138,대구광역시
712000~713999,경상북도 경산시,1139,경상북도 경산시
714000~715999,경상북도 청도군,1140,경상북도 청도군
716000~716999,대구광역시,1138,대구광역시
717000~717999,경상북도 고령군,1141,경상북도 고령군
718000~718999,경상북도 칠곡군,1142,경상북도 칠곡군
719000~729999,경상북도 성주군,1143,경상북도 성주군
730000~739999,경상북도 구미시,1144,경상북도 구미시
740000~741999,경상북도 김천시,1145,경상북도 김천시
742000~744999,경상북도 상주시,1146,경상북도 상주시
745000~749999,경상북도 문경시,1147,경상북도 문경시
750000~754999,경상북도 영주시,1148,경상북도 영주시
755000~756999,경상북도 봉화군,1149,경상북도 봉화군
757000~759999,경상북도 예천군,1150,경상북도 예천군
760000~762999,경상북도 안동시,1151,경상북도 안동시
763000~763999,경상북도 청송군,1152,경상북도 청송군
764000~765999,경상북도 영양군,1153,경상북도 영양군
766000~766999,경상북도 영덕군,1154,경상북도 영덕군
767000~768999,경상북도 울진군,1155,경상북도 울진군
769000~769999,경상북도 의성군,1156,경상북도 의성군
770000~779999,경상북도 영천시,1157,경상북도 영천시
780000~789999,경상북도 경주시,1158,경상북도 경주시
790000~798999,경상북도 포항시,1159,경상북도 포항시
799000~799999,경상북도 울릉군,1160,경상북도 울릉군
800000~899999,수입산,1161,수입산
901000,서울특별시,1000,서울특별시
902000,부산광역시,1116,부산광역시
903000,대구광역시,1138,대구광역시
904000,대전광역시,1019,대전광역시
905000,인천광역시,1047,인천광역시
906000,광주광역시,1079,광주광역시
907000,울산광역시,1135,울산광역시
908000,세종특별자치시,1028,세종특별자치시
910000,경기도 ,1162,경기도 
911000,경기도 고양시,1048,경기도 고양시
912000,경기도 부천시,1051,경기도 부천시
913000,경기도 안양시,1056,경기도 안양시
914000,경기도 수원시,1060,경기도 수원시
915000,경기도 성남시,1058,경기도 성남시
916000,경기도 평택시,1064,경기도 평택시
917000,경기도 안산시,1053,경기도 안산시
920000,강원도 ,1163,강원도 
921000,강원도 춘천시,1001,강원도 춘천시
922000,강원도 영월군,1010,강원도 영월군
930000,충청남도 ,1164,충청남도 
940000,충청북도 ,1165,충청북도 
941000,충청북도 청주시,1036,충청북도 청주시
950000,전라남도 ,1166,전라남도 
951000,전라남도 여수시,1101,전라남도 여수시
952000,전라남도 완도군,1089,전라남도 완도군
953000,전라남도 신안군,1092,전라남도 신안군
960000,전라북도 ,1167,전라북도 
961000,전라북도 전주시,1102,전라북도 전주시
962000,전라북도 고창군,1111,전라북도 고창군
970000,경상남도 ,1168,경상남도 
971000,경상남도 창원시,1120,경상남도 창원시
980000,경상북도 ,1169,경상북도 
981000,경상북도 포항시,1159,경상북도 포항시
990000,제주도 ,1170,제주도 
999999,기타,1171,기타
