plor_cd,plor_nm
100675,서울 중구 서울중앙우체국사서함7500∼7599
100676,서울 중구 서울중앙우체국사서함7600∼7699
100677,서울 중구 서울중앙우체국사서함7700∼7799
100678,서울 중구 서울중앙우체국사서함7800∼7899
100679,서울 중구 서울중앙우체국사서함7900∼7999
100680,서울 중구 서울중앙우체국사서함8000∼8099
100681,서울 중구 서울중앙우체국사서함8100∼8199
100682,서울 중구 서울중앙우체국사서함8200∼8299
100683,서울 중구 서울중앙우체국사서함8300∼8399
100684,서울 중구 서울중앙우체국사서함8400∼8499
100685,서울 중구 서울중앙우체국사서함8500∼8599
100686,서울 중구 서울중앙우체국사서함8600∼8699
100687,서울 중구 서울중앙우체국사서함8700∼8799
100688,서울 중구 서울중앙우체국사서함8800∼8899
100689,서울 중구 서울중앙우체국사서함8900∼8999
100690,서울 중구 서울중앙우체국사서함9000∼9099
100691,서울 중구 서울중앙우체국사서함9100∼9199
100692,서울 중구 서울중앙우체국사서함9200∼9299
100693,서울 중구 서울중앙우체국사서함9300∼9399
100694,서울 중구 서울중앙우체국사서함9400∼9499
100695,서울 중구 서울중앙우체국사서함9500∼9599
100696,서울 중구 서울중앙우체국사서함9600∼9699
100697,서울 중구 서울중앙우체국사서함9700∼9799
100698,서울 중구 서울중앙우체국사서함9800∼9899
100699,서울 중구 서울중앙우체국사서함9900∼9999
100701,서울 중구 예관동  중구청 
100702,서울 중구 정동  경향신문사건물 
100703,서울 중구 남대문로2가  국민은행본점빌딩 
100704,서울 중구 남대문로5가  단암빌딩 
100705,서울 중구 충무로3가  극동빌딩 
100706,서울 중구 충무로1가  고려대연각센터빌딩 
100707,서울 중구 충정로1가  농업협동조합중앙회건물 
100708,서울 중구 남대문로5가  서울남대문경찰서 
100709,서울 중구 충무로1가  서울중앙우체국 
100710,서울 중구 광희동1가  광희빌딩 
100711,서울 중구 남대문로5가  SK남산그린빌딩 
100712,서울 중구 순화동  에이스타워빌딩 
100713,서울 중구 충무로4가  진양상가 
100714,서울 중구 남대문로5가  대우센터빌딩 
100715,서울 중구 필동3가  동국대학교 
100716,서울 중구 태평로2가  삼성생명빌딩 
100717,서울 중구 중림동  브라운스톤서울 
100718,서울 중구 소공동  동양화학빌딩 
100719,서울 중구 을지로1가  하나은행빌딩 
100720,서울 중구 을지로2가  하나은행별관빌딩 
100721,서울 중구 소공동  롯데쇼핑센터빌딩 
100722,서울 중구 남대문로5가  GS역전타워 
100723,서울 중구 충정로1가  문화일보사건물 
100724,서울 중구 태평로2가  대경빌딩 
100725,서울 중구 회현동2가  프라임타워 
100726,서울 중구 을지로6가  케레스타 
100727,서울 중구 중림동  삼성사이버아파트 
100728,서울 중구 필동1가  매일경제신문사빌딩 
100729,서울 중구 남대문로2가  미도파백화점건물 
100730,서울 중구 을지로6가  두산타워빌딩 
100731,서울 중구 순화동  순화빌딩 
100732,서울 중구 순화동  중앙문화센터빌딩 
100733,서울 중구 태평로2가  한화손해보험 
100734,서울 중구 신당5동  한진그랑빌아파트 102∼104동
100735,서울 중구 서소문동  대한빌딩 
100736,서울 중구 서소문동  동화빌딩 
100737,서울 중구 서소문동  올리브타워 
100738,서울 중구 서소문동  배재빌딩 
100739,서울 중구 서소문동  시청별관 
100740,서울 중구 남대문로5가  대우재단 
100741,서울 중구 남대문로5가  서울시티타워빌딩 
100742,서울 중구 태평로2가  삼성본관빌딩 
100743,서울 중구 남대문로4가  상공회의소회관 
100744,서울 중구 태평로1가  서울시청 
100745,서울 중구 태평로1가  서울신문사빌딩 
100746,서울 중구 남대문로2가 서울은행본점건물
100747,서울 중구 충무로1가  신세계백화점건물 
100748,서울 중구 저동2가  쌍용빌딩 
100749,서울 중구 남대문로5가  CJ빌딩 
100750,서울 중구 태평로1가  프레스센터빌딩 
100751,서울 중구 예장동  숭의여자대학 
100752,서울 중구 서소문동  신아빌딩 
100753,서울 중구 남대문로5가  연세세브란스빌딩 
100754,서울 중구 신당3동  남산타운아파트 1∼21동
100755,서울 중구 소공동  소공동한화빌딩 
100756,서울 중구 태평로1가  조선일보사건물 
100757,서울 중구 남대문로1가  신한은행광교빌딩 
100758,서울 중구 을지로2가  중소기업은행본점 
100759,서울 중구 순화동  중앙일보사건물 
100760,서울 중구 장교동  장교빌딩 
100761,서울 중구 신당4동  약수하이츠아파트 
100762,서울 중구 을지로6가  밀리오레상가건물 
100763,서울 중구 신당4동  삼성아파트 
100764,서울 중구 서소문동  부영빌딩 
100765,서울 중구 서소문동  장안빌딩 
100766,서울 중구 저동2가  서울중부경찰서 
100767,서울 중구 태평로2가  태평로빌딩 
100768,서울 중구 태평로1가  파이낸스빌딩 
100769,서울 중구 저동1가  남대문세무서 
100770,서울 중구 남대문로2가  구KAL 
100771,서울 중구 회현동3가  화이자타워 
100772,서울 중구 무교동  코오롱빌딩 
100773,서울 중구 순화동  에스원빌딩 
100774,서울 중구 신당2동  선일빌딩 
100775,서울 중구 무교동  한국정보사회진흥원 
100776,서울 중구 신당2동  유유빌딩 
100777,서울 중구 무교동  여성부 
100778,서울 중구 남창동  롯데손해보험빌딩 
100779,서울 중구 신당3동  남산타운아파트 22∼42동
100780,서울 중구 신당2동  조세통람사 
100781,서울 중구 신당6동  현대아파트 
100782,서울 중구 을지로1가  삼성화재빌딩 
100783,서울 중구 의주로1가  바비엥빌딩 
100784,서울 중구 정동  정동빌딩 
100785,서울 중구 정동  배재정동빌딩 
100786,서울 중구 을지로4가  삼풍상가 
100788,서울 중구 남대문로5가  대한생명 
100789,서울 중구 신당5동  도로교통공단본부 
100790,서울 중구 남대문로5가  대우건설빌딩 
100791,서울 중구 중림동  한국경제신문사빌딩 
100792,서울 중구 회현동1가  우리은행본점 
100793,서울 중구 을지로2가  외환은행본점 
100794,서울 중구 남대문로3가  한국은행건물 
100795,서울 중구 남학동  중부세무서 
100796,서울 중구 초동  동부화재보험빌딩 
100797,서울 중구 장교동  한화빌딩 
100798,서울 중구 남창동  삼선빌딩 
100799,서울 중구 을지로6가  국립의료원 
100800,서울 중구 남대문로5가1∼80
100801,서울 중구 남대문로5가81∼120
100802,서울 중구 남대문로5가121∼560
100803,서울 중구 남대문로5가561∼815
100804,서울 중구 남창동1∼60
100805,서울 중구 남창동61∼160
100806,서울 중구 남창동161∼236
100807,서울 중구 만리동1가1∼50
100808,서울 중구 만리동1가51∼57
100809,서울 중구 명동2가1∼33
100810,서울 중구 명동2가34∼105
100811,서울 중구 방산동1∼70
100812,서울 중구 방산동71∼130
100813,서울 중구 서소문동1∼54
100814,서울 중구 서소문동55∼120
100815,서울 중구 신당6동41∼44
100816,서울 중구 신당6동270∼273
100817,서울 중구 신당5동2∼12
100818,서울 중구 신당5동65∼79
100819,서울 중구 신당5동101∼156
100820,서울 중구 신당5동157∼160
100821,서울 중구 신당5동161∼170
100822,서울 중구 신당1동197∼200
100823,서울 중구 신당1동239∼248
100824,서울 중구 신당6동282∼294
100825,서울 중구 신당4동310∼330
100826,서울 중구 신당4동331∼335
100827,서울 중구 신당3동346
100828,서울 중구 신당2동353∼365
100829,서울 중구 신당2동336∼338
100830,서울 중구 신당3동366
100831,서울 중구 신당4동 369 373
100832,서울 중구 신당1동387∼393
100833,서울 중구 신당2동394∼415
100834,서울 중구 신당2동374∼386
100835,서울 중구 신당2동432
100836,서울 중구 신당5동436∼770
100837,서울 중구 신당1동771∼778
100838,서울 중구 신당2동821∼831
100839,서울 중구 신당2동 827 831
100840,서울 중구 신당3동372∼373
100841,서울 중구 신당3동369
100842,서울 중구 을지로1가1∼86
100843,서울 중구 을지로1가87∼101
100844,서울 중구 을지로2가1∼87
100845,서울 중구 을지로2가88∼199
100846,서울 중구 을지로3가1∼118
100847,서울 중구 을지로3가119∼291
100848,서울 중구 을지로4가1∼207
100849,서울 중구 을지로4가208∼310
100850,서울 중구 을지로6가1∼17
100851,서울 중구 을지로6가18∼20
100852,서울 중구 입정동1∼204
100853,서울 중구 입정동205∼255
100854,서울 중구 입정동256∼263
100855,서울 중구 장충동2가1∼190
100856,서울 중구 장충동2가191∼209
100857,서울 중구 장충동2가산1∼14
100858,서울 중구 중림동1∼150
100859,서울 중구 중림동151∼627
100860,서울 중구 충무로2가1∼47
100861,서울 중구 충무로2가48∼66
100862,서울 중구 충무로4가1∼14
100863,서울 중구 충무로4가15∼128
100864,서울 중구 태평로2가1∼119
100865,서울 중구 태평로2가120∼341
100866,서울 중구 필동1가1∼44
100867,서울 중구 필동1가45∼51
100868,서울 중구 황학동1∼365
100869,서울 중구 황학동366∼757
100870,서울 중구 황학동758∼1518
100871,서울 중구 황학동1519∼2539
100872,서울 중구 회현동1가1∼41
100873,서울 중구 회현동1가42∼147
100874,서울 중구 회현동1가148∼202
100875,서울 중구 회현동1가203
100876,서울 중구 회현동2가1∼48
100877,서울 중구 회현동2가49∼60
100878,서울 중구 흥인동1∼8
100879,서울 중구 흥인동9∼100
100880,서울 중구 흥인동101∼158
