plor_cd,plor_nm
200914.0,강원 춘천시 남산면 방하리
200915.0,강원 춘천시 남산면 수동리
200920.0,강원 춘천시 남면
200921.0,강원 춘천시 남면 가정리
200922.0,강원 춘천시 남면 발산리
200930.0,강원 춘천시 근화동1∼235
200931.0,강원 춘천시 근화동236∼802
200932.0,강원 춘천시 석사동1∼34
200933.0,강원 춘천시 석사동35∼339
200934.0,강원 춘천시 석사동340∼495
200935.0,강원 춘천시 석사동496∼683
200936.0,강원 춘천시 석사동684∼827
200937.0,강원 춘천시 온의동1∼326
200938.0,강원 춘천시 온의동327∼571
200939.0,강원 춘천시 우두동1∼763
200940.0,강원 춘천시 우두동764∼1068
200941.0,강원 춘천시 조양동1∼33
200942.0,강원 춘천시 조양동  지하상가 
200943.0,강원 춘천시 퇴계동 11토지  1∼53블록
200944.0,강원 춘천시 퇴계동621∼912
200945.0,강원 춘천시 퇴계동913∼914
200946.0,강원 춘천시 퇴계동915∼917
200947.0,강원 춘천시 효자3동1∼18
200948.0,강원 춘천시 효자2동167∼176
200949.0,강원 춘천시 효자1동427∼474
200950.0,강원 춘천시 효자3동19∼46
200951.0,강원 춘천시 효자2동598∼603
200952.0,강원 춘천시 효자2동149∼166
200953.0,강원 춘천시 효자2동250∼278
200954.0,강원 춘천시 효자1동590∼597
200955.0,강원 춘천시 후평2동21∼42
200956.0,강원 춘천시 후평3동414∼441
200957.0,강원 춘천시 후평1동560∼677
200958.0,강원 춘천시 후평2동442∼445
200959.0,강원 춘천시 후평1동507∼559
200960.0,강원 춘천시 후평1동산14∼16
200961.0,강원 춘천시 후평2동694∼699
200962.0,강원 춘천시 후평3동801∼831
200963.0,강원 춘천시 후평3동1∼20
200964.0,강원 춘천시 후평2동863∼865
200969.0,강원 춘천시 후평2동678∼683
200972.0,강원 춘천시 석사동861∼867
200992.0,강원 춘천시 후평2동901∼902
200993.0,강원 춘천시 후평3동900
209000.0,강원도 화천군
209800.0,강원 화천군 화천읍
209801.0,강원 화천군 화천읍 동촌리
209802.0,강원 화천군 화천읍 상리
209803.0,강원 화천군 화천읍 신읍리
209804.0,강원 화천군 화천읍 아리
209805.0,강원 화천군 화천읍 풍산리
209806.0,강원 화천군 간동면 구만리
209807.0,강원 화천군 상서면 구운리
209808.0,강원 화천군 하남면 거례리
209809.0,강원 화천군 화천읍 대이리
209810.0,강원 화천군 상서면
