region_city,plor_cd_range
경기도 의왕시,"437000,437010,437020,437030,437040,437050,437060,437070,437080~437082,437090,437110,437120,437701~437757,437763~437772,437800~437838,437841~437848,437858"
경기도 의정부시,"480000,480003,480010~480013,480020~480022,480030,480040,480050,480060,480070~480072,480080,480090,480100~480103,480110,480120,480130,480600,480700~480798,480800~480873,480901~480946"
경기도 이천시,"467000,467010,467020,467030,467040,467050,467060,467070,467080,467090,467100,467110,467120,467130,467140,467150,467600,467701~467748,467755~467756,467772~467773,467775~467776,467791,467800~467808,467810~467814,467820~467822,467830~467833,467840~467845,467847,467850~467857,467859~467868,467870~467873,467877~467883,467890~467892,467900~467906,467909"
경기도 파주시,"413000,413010~413012,413020,413030,413040,413050,413060,413600,413610,413700~413758,413769,413771~413788,413790~413791,413793~413795,413800~413816,413818~413826,413830~413836,413840~413843,413850~413855,413859~413865,413870~413876,413880~413883,413900~413907,413910~413914,413920,413930,413940,413950"
경기도 평택시,"450000,450010,450020,450030,450040,450050,450060,450070,450080,450090,450100,450110,450120,450130,450140,450150~450152,450600,450701~450704,450706,450710~450711,450716~450746,450758~450766,450802~450811,450815~450820,450826~450833,451701~451704,451712~451713,451725~451726,451741,451761~451770,451780~451783,451800~451808,451810~451813,451820~451824,451830~451833,451840~451843,451850~451852,451860~451865,451870~451873,451880~451885,451890,459010,459020,459030,459040,459050,459060,459070,459080,459090,459100,459110,459120~459122,459600,459701~459705,459707~459711,459714~459715,459718~459723,459731~459737,459744~459759,459799~459801,459812~459814,459821~459825"
경기도 포천군,"487801~487802,487806~487808"
경기도 포천시,"487000,487010,487020,487030,487040,487050,487060,487701~487731,487800,487803~487805,487810~487818,487820~487827,487830~487832,487840~487843,487850~487857,487860~487863,487869~487873,487880~487883,487890~487894,487910~487914,487920~487922,487930~487933,487939"
경기도 하남시,"465000,465010~465013,465030~465032,465060,465070,465080,465090,465100,465110,465120,465130,465140,465150,465160,465170,465180,465190,465200,465210,465220,465230,465240,465250,465260,465701~465717,465720~465725,465800~465813,465815~465819"
경기도 화성시,"445000,445010,445020,445030,445040,445050,445060,445070,445080,445090,445100,445110,445120,445130,445140,445150,445160,445170,445300,445310,445320,445330,445340,445350,445360,445370,445380,445390,445400,445701~445735,445737~445780,445782~445783,445785~445799,445801~445805,445807~445813,445828,445830~445833,445839~445843,445860~445862,445870~445874,445880~445883,445890~445899,445901~445906,445910~445947,445949~445977,445982~445995"
경상남도 거제시,"656000,656040,656050,656080,656130~656132,656210,656220~656221,656230,656300~656306,656610,656701~656702,656710~656711,656714,656720,656750~656764,656770~656777,656779,656781~656782,656786,656790,656792~656794,656800~656808,656810~656815,656820~656823,656830~656836,656840~656843,656850~656853,656860~656863,656870~656876,656880~656884,656890~656894,656900~656910,656914,656916,656918,656921~656924"
경상남도 거창군,"670000,670800~670813,670820~670823,670830~670833,670840~670843,670850~670853,670860~670862,670870~670873,670880~670883,670890~670893,670910~670914,670920~670922"
경상남도 고성군,"638000,638800~638807,638810~638813,638820,638830~638833,638840~638843,638910~638912,638920~638923,638930~638933,638940~638942,638950~638953,638960~638962,638970~638972,638980~638982,638990~638992"
경상남도 김해시,"621000,621010,621020,621030,621040,621050,621060,621070,621080,621090,621100,621110,621120,621130,621140,621150,621160,621170,621180,621190,621200,621210,621220,621600,621701~621703,621705,621711~621725,621731,621741~621781,621800~621808,621810~621813,621820~621823,621830~621834,621840~621843,621870~621874,621880~621884,621890~621893,621900~621922"
경상남도 남해군,"668000,668800~668806,668810~668813,668820~668823,668830~668834,668840~668843,668850~668854,668860~668863,668870~668873,668880~668883,668890~668893"
경상남도 마산시,"630010~630012,630020,630030,630040~630042,630490~630492,630500,630510~630512,630520~630522,630600,630650,630701,630705,630711~630714,630716~630720,630723~630725,630728~630729,630750~630762,630764~630766,630768~630774,630776,630778~630791,630794,630800~630827,630850~630859,631050~631052,631060,631070,631080,631090,631100,631110,631120,631130,631140,631150,631160~631165,631170,631180~631182,631190,631200,631210,631220,631230,631240,631250,631260~631262,631270,631280,631290,631300,631310,631320,631330,631340~631343,631350~631353,631360,631370,631380,631390~631395,631400,631410,631420~631423,631430,631440~631442,631450,631460,631470,631480~631482,631600,631701~631717,631750~631777,631810~631818,631820~631823,631830~631834,631840~631843,631850~631872"
경상남도 밀양시,"627000,627110~627111,627120,627130,627140,627150,627162,627171,627600,627701~627709,627750~627759,627800~627806,627810~627813,627820~627825,627830~627834,627840~627843,627850~627854,627860~627863,627870~627874,627880~627883,627890~627895,627900~627906,627910~627914"
경상남도 사천시,"664000,664010,664020,664030,664040,664050,664060,664070,664080,664090,664100,664110,664120,664130,664140,664150,664160,664170,664180,664190,664200,664210,664220,664230,664240,664250,664260,664270,664600,664701~664713,664800~664812,664820~664827,664830~664840,664880,664910~664917,664920~664925,664927,664930~664932,664940~664943,664950~664953"
경상남도 산청군,"666000,666800~666808,666810~666813,666820~666823,666830~666834,666910~666913,666920~666922,666930~666934,666940~666944,666950~666953,666960~666963,666970~666972"
경상남도 양산시,"626000,626010,626020,626030,626040,626050,626110,626120,626130,626140,626210,626220,626230,626240,626250,626260,626270,626280,626290,626300,626310,626320,626600,626701~626703,626705~626707,626712,626716,626718~626720,626723~626725,626727~626732,626740,626749~626785,626790~626795,626800~626801,626810~626814,626820~626825,626830~626837,626840~626856,626860~626863"
경상남도 의령군,"636000,636800~636805,636810~636812,636820~636822,636830~636832,636840~636842,636910~636912,636920~636922,636930~636932,636940~636942,636950~636952,636960~636964,636970~636972,636980~636982"
경상남도 진주시,"660000,660003,660010,660020,660030,660040,660050~660052,660070,660080,660100,660110,660120,660140,660150,660160,660170,660180,660200~660202,660220,660230,660240,660250,660260~660262,660280,660290,660300,660310,660320~660322,660330~660332,660340,660360,660380,660390,660400,660600,660701~660704,660720~660725,660728~660729,660741,660750~660751,660756~660794,660796,660800~660816,660820~660822,660830~660833,660840~660845,660850~660853,660860~660863,660870~660872,660880~660882,660890~660892,660900~660913,660920~660923,660929~660933,660940~660943,660950~660953,660960~660962,660970~660973,660980~660998"
경상남도 진해시,"645000,645010~645016,645020,645030~645035,645040,645050~645051,645060,645070,645080,645090,645100,645110,645120,645130,645140,645150,645160,645170,645180,645190,645200,645210,645220,645230,645240,645250,645260,645270,645280,645290,645300,645310,645320,645330,645340,645350,645360,645370,645380,645390,645400,645410,645420,645430,645440,645450,645460,645470,645480,645490,645500,645510,645520,645530,645600,645701~645708,645731,645750~645779,645795~645798,645800~645808"
경상남도 창녕군,"635000,635700,635800~635808,635810~635812,635820~635822,635830~635833,635860~635863,635870~635872,635880~635882,635890~635893,635900~635908,635910~635913,635920~635925,635930~635933,635939~635943,635950~635952"
경상남도 창원시,"630000,641000,641003,641010,641020,641030,641040~641042,641050,641060,641070,641080,641090~641091,641100,641110~641111,641120,641130,641140,641150,641160,641170,641180,641190,641200,641210,641220,641230,641240~641242,641250,641260,641270,641280,641290,641300,641315,641330,641340,641350,641360,641370,641380,641390,641400,641410,641420,641430,641440,641450,641460,641465,641470,641480,641490,641500,641510,641520,641530,641540,641550,641560,641600,641700~641851,641860~641865,641870~641874,641900~641911,641913~641924,641930~641948,641955~641961,641965~641970"
경상남도 통영시,"650000,650010,650020,650030,650040,650050,650060,650070,650080,650090,650100,650110,650120,650130~650132,650140,650150~650152,650160,650170~650172,650600,650750~650765,650800~650807,650810~650817,650820~650827,650830~650835,650910~650916,650920~650927,650930~650934,650940~650947"
경상남도 하동군,"667000,667800~667806,667810~667813,667820~667824,667830~667833,667840~667842,667850~667853,667860~667863,667870~667873,667880~667885,667890~667893,667910~667914,667920~667924,667930~667933"
경상남도 함안군,"637000,637700,637702~637708,637800~637806,637810~637813,637820~637824,637830~637833,637840~637842,637910~637913,637920~637924,637930~637932,637940~637943,637955"
경상남도 함양군,"676000,676701~676702,676800~676806,676810~676813,676820~676825,676830~676832,676840~676843,676850~676853,676860~676862,676870~676873,676880~676883,676890~676893,676910~676914"
경상남도 합천군,"678000,678700,678800~678807,678810~678813,678820~678823,678830~678833,678840~678843,678850~678853,678860~678862,678870~678873,678880~678883,678890~678896,678910~678913,678920~678923,678930~678933,678940~678943,678950~678952,678960~678964,678970~678973"
경상북도 경산시,"712000,712010,712020,712030,712040,712050,712060,712070,712080,712090,712100,712110,712120,712130,712140,712150,712160,712170,712180,712190,712200,712210,712220,712230,712240,712250,712260,712270,712280,712600,712700~712706,712711~712723,712730~712738,712749,712751~712787,712792~712795,712800~712804,712820~712826,712830~712838,712840~712844,712850~712854,712860~712863,712870~712873,712880~712883,712900~712913"
경상북도 경주시,"780000,780010,780020,780030,780040,780050,780060,780070,780080,780090,780100,780110,780120,780130,780140,780150,780160,780170,780180,780190,780200,780210,780220,780230,780240,780250,780260,780270,780280,780290,780300,780310,780320,780330,780340,780350,780360,780400,780410,780420,780430,780440,780450,780460,780470,780600,780701,780704~780705,780711~780715,780751~780776,780778~780779,780800~780810,780820~780827,780830~780834,780840~780844,780850~780853,780860~780862,780870~780875,780880~780883,780890~780894,780900~780905,780910~780914,780920~780924,780931~780957"
경상북도 고령군,"717000,717701~717705,717800~717804,717810~717812,717820~717822,717830~717832,717840~717842,717850~717853,717860~717862,717870~717873"
경상북도 구미시,"730000,730010~730012,730020~730022,730030~730032,730040~730042,730050,730060,730070~730072,730080,730090,730100,730110,730120,730130,730140,730150,730160,730170,730180,730200,730300,730310,730320,730330,730340,730350,730360,730370,730380,730390,730400,730410,730600,730700~730740,730743~730744,730746~730747,730750~730798,730800~730825,730830~730833,730840~730843,730850~730853,730860~730863,730870~730873,730901~730933"
경상북도 군위군,"716000,716701,716800~716804,716810~716813,716820~716823,716830~716833,716840~716843,716850~716852,716860~716863,716870~716873"
경상북도 김천시,"740000,740010,740020,740030,740040,740050,740060,740070,740080,740090,740100,740110,740120,740130,740140,740150,740160,740170,740180,740190,740200,740210,740600,740701~740708,740751~740770,740810~740813,740820~740823,740830~740833,740840~740842,740850~740853,740860~740863,740870~740873,740880~740882,740890~740892,740910~740913,740920~740924,740930~740933,740940~740943,740950~740953,740960~740962,740971~740983"
경상북도 문경시,"745000,745020,745030,745040,745050,745060,745120,745130,745140,745150,745220,745230,745240,745330,745340,745600,745701~745706,745800~745804,745810~745812,745820~745823,745830~745833,745840~745844,745850~745853,745860~745863,745870~745874,745881~745891,745900~745904"
경상북도 봉화군,"755000,755800~755806,755810~755813,755820~755824,755830~755833,755840~755847,755850~755853,755860~755864,755870~755874,755880~755886,755890~755893"
경상북도 상주시,"742000,742010,742020,742030,742040,742050,742060,742070,742080,742090,742100,742110,742120,742130,742140,742150,742160,742170,742180,742190,742200,742210,742220,742230,742240,742250,742260,742270,742280,742290,742300,742310,742320,742330,742340,742350,742360,742600,742701~742709,742711,742751~742759,742800~742804,742810~742813,742820~742823,742830~742833,742840~742844,742850~742853,742860~742863,742870~742873,742880~742882,742890~742893,742901~742906,742910~742913,742920~742924,742930~742933,742940~742942,742950~742954,742960~742963,742970~742972,742980~742983"
경상북도 성주군,"719000,719800~719804,719810~719814,719820~719823,719830~719834,719840~719844,719850~719853,719860~719863,719870~719872,719880~719883,719890~719894"
경상북도 안동시,"760000,760003,760010,760020,760030,760040,760050,760060,760070,760080,760090,760100,760110,760120,760130,760140,760150,760160,760170,760180,760190,760200,760210,760220,760230,760240,760250,760260,760270,760280,760290,760300,760310,760320,760330,760340,760350,760360,760370,760380,760390,760400,760410,760420,760600,760701~760709,760711~760714,760728,760749,760751~760759,760762~760764,760790,760799~760805,760810~760815,760820~760823,760830~760834,760840~760845,760850~760853,760860~760863,760870~760873,760880~760883,760890~760894,760901~760905,760910~760916,760920~760923,760930~760935,760940~760944"
경상북도 영덕군,"766000,766701~766706,766800~766805,766810~766815,766820~766824,766830~766834,766840~766843,766850~766853,766860~766864,766870~766873,766880~766882"
경상북도 영양군,"764000,764800~764806,764810~764813,764820~764823,764830~764833,764840~764844,764850~764854"
경상북도 영주시,"750000,750010~750012,750020~750022,750030,750040,750050~750053,750060,750070,750080,750090,750100,750110,750120,750130,750600,750701,750711~750712,750740,750751~750771,750800~750805,750810~750813,750820~750824,750830~750833,750840~750842,750850~750852,750860~750863,750870~750873,750880~750883,750890~750894,750901~750917"
경상북도 영천시,"770000,770010,770020,770030,770040,770050,770060,770070,770080,770090,770100,770110,770120,770130,770140,770150,770160,770170,770180,770190,770200,770210,770220,770230,770240,770250,770260,770270,770280,770290,770300,770600,770701~770705,770751~770762,770800~770805,770810~770814,770820~770823,770830~770833,770840~770846,770849~770853,770860~770864,770870~770873,770880~770884,770890~770894,770901~770906,770910~770913"
경상북도 예천군,"757000,757800~757807,757810~757813,757820~757823,757830~757833,757840~757844,757850~757853,757860~757863,757870~757872,757880~757883,757890~757893,757899,757910~757913,757920~757923"
경상북도 울릉군,"799000,799800~799805,799810~799813,799820~799823"
경상북도 울진군,"767000,767701,767800~767806,767810~767814,767830~767834,767840~767843,767850~767853,767860~767863,767870~767873,767880~767884,767890~767894,767900~767902"
경상북도 의성군,"769000,769700~769701,769800~769806,769810~769812,769820~769823,769830~769833,769840~769843,769850~769854,769860~769862,769870~769872,769880~769883,769890~769892,769910~769914,769920~769922,769930~769933,769940~769942,769950~769952,769960~769963,769970~769974,769980~769982"
경상북도 청도군,"714000,714701,714800~714807,714820~714822,714830~714833,714840~714843,714850~714853,714860~714864,714870~714873,714880~714883,714900~714903"
경상북도 청송군,"763000,763710~763711,763800~763804,763810~763817,763820~763824,763830~763834,763840~763844,763850~763853,763860~763864,763870~763874"
경상북도 칠곡군,"718000,718701~718704,718800~718807,718810~718814,718820~718824,718830~718833,718840~718845,718850~718852,718910~718913,718920~718923"
경상북도 포항시,"790000,790140,790150,790160,790190~790192,790230,790240,790300,790310,790320,790330,790340,790350,790360,790370,790380,790390,790400,790600,790701~790724,790727~790734,790751~790763,790784~790785,790790,790800~790805,790810~790812,790821~790842,790850~790855,790861~790863,790880~790885,790900~790910,790930~790934,791003,791010,791020,791030,791040,791050~791052,791060~791062,791070,791080,791090,791100,791110,791120,791130,791170~791172,791180,791200,791210,791220,791250,791260,791270,791280,791290,791600,791701~791716,791738,791751~791768,791771~791773,791776,791778~791780,791782~791787,791789,791792,791801~791824,791830~791832,791841~791849,791860~791863,791870~791873,791910~791915,791920~791923,791940~791950"
전라남도 강진군,"527000,527800~527806,527810~527813,527820~527823,527830~527833,527840~527842,527850~527853,527860~527863,527870~527872,527880~527885,527890~527892,527910~527912"
전라남도 고흥군,"548000,548701,548800~548805,548810~548814,548820~548822,548830~548834,548840~548843,548850~548854,548860~548863,548870~548873,548880~548884,548890~548895,548900~548913,548920~548924,548930~548936,548940~548944,548950~548952"
전라남도 곡성군,"516000,516800~516806,516810~516814,516820~516825,516830~516833,516840~516842,516850~516853,516860~516863,516910~516914,516920~516922,516930~516932,516940~516944"
전라남도 광양시,"545000,545010,545020,545030,545040,545050,545060,545070,545080,545090,545100,545600,545610,545701~545709,545711,545717,545720~545721,545723,545751~545787,545789,545800~545813,545820~545823,545825~545828,545830~545833,545840~545843,545850~545854,545860~545863,545870~545888,545893"
전라남도 구례군,"542000,542800~542806,542810~542812,542820~542822,542830~542835,542840~542843,542850~542853,542860~542863,542870~542873"
전라남도 나주시,"520000,520010,520020,520030,520040,520050,520060,520070,520080,520090,520100,520110,520120,520130,520140,520150,520160,520170,520180,520200,520210,520220,520230,520240,520250,520260,520270,520280,520290,520300,520310,520320,520330,520340,520600,520610,520620,520701,520710~520711,520713~520715,520751~520756,520810~520815,520820~520824,520830~520834,520840~520845,520850~520855,520860~520863,520870~520873,520880~520883,520890~520893,520910~520914,520920~520923,520930~520934,520940~520943,520951~520952"
전라남도 담양군,"517000,517800~517806,517810~517812,517820~517822,517830~517832,517840~517843,517850~517853,517860~517863,517870~517872,517880~517883,517890~517892,517910~517915,517920~517923"
